Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
593,,2,5,2.482056974,7087.519631,0.4228474,0.0438945,68,69,137,2
27,,3,5,2.799112098,610.6933975,0.22142857,0.022246828,21,18,39,2
601,,6,5,2.317795043,17643.24738,0.26428264,0.105936485,96,97,193,2
600137,,6,5,2.529041805,5907.26193,0.18604651,0.039833905,43,44,87,2
601211,,3,5,2.705142434,6525.439058,0.18939394,0.059431133,44,35,79,2
600166,,8,5,2.833888272,597.6812351,0.45714286,0.013772091,14,15,29,2
338,,0,5,2.280429153,15904.58156,0.6374203,0.226611704,126,126,252,2
600217,,0,5,3.113947466,0,0.5,0.00413775,1,2,3,2
401,,0,4,2.27672956,10176.26171,0.6568889,0.250631399,125,124,249,2
600881,,4,4,2.262301147,7038.30126,0.79455376,0.686697072,166,167,333,2
2454,,6,5,2.443211247,3159.838065,0.28228438,0.079709694,65,66,131,2
421,,2,5,2.938586755,373.5938439,0.24444444,0.004589234,9,9,18,2
776,,3,5,2.58490566,2722.552296,0.45061457,0.101060503,66,58,124,2
623,,8,5,2.358490566,7775.668003,0.33950087,0.084469568,84,83,167,2
685,,0,5,2.207917129,9758.056572,0.48594856,0.275703465,158,158,316,2
713,,2,5,2.353311136,12493.16101,0.21956684,0.08865024,103,103,206,2
686,,8,5,2.932667407,197.0166568,0.45670995,0.027420992,21,17,38,2
916,,2,5,2.89900111,292.2429604,0.4640523,0.026387138,17,17,34,2
300236,,6,5,2.541620422,3283.955181,0.45387754,0.05646949,49,50,99,2
600195,,4,4,2.189789123,16543.68784,0.62437934,0.698730859,191,193,384,2
600970,,6,4,2.351461339,10206.49134,0.30035046,0.13581312,98,99,197,2
600958,,3,5,2.800961894,504.4310955,0.3584656,0.042938199,26,15,41,2
748,,7,5,2.284868664,18073.03567,0.37487888,0.157902278,128,128,256,2
26,,8,5,2.443951165,5900.063263,0.50719243,0.048746824,63,64,127,2
839,,2,5,2.458009619,8696.944283,0.38502824,0.061039527,59,59,118,2
2085,,3,5,2.347021828,10191.20634,0.25372407,0.088273426,88,91,179,2
2228,,6,5,2.636330004,1988.302605,0.299431,0.018037406,37,38,75,2
300086,,6,5,2.755826859,5453.68249,0.36833334,0.009969464,24,25,49,2
300331,,6,5,2.624121347,6962.273762,0.33668077,0.017268069,43,44,87,2
600255,,8,5,2.726230115,4573.679964,0.29603174,0.012904842,35,35,70,2
600356,,2,5,2.623381428,4575.40412,0.22268908,0.016210384,34,35,69,2
600992,,2,5,2.537550869,10451.24448,0.2512987,0.028501647,55,56,111,2
603898,,6,5,2.452460229,6958.969583,0.1931694,0.042425021,60,61,121,2
14,,5,5,2.344432112,9158.837488,0.40909955,0.103403307,101,102,203,2
