Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
593,,2,6,1.850481125,9918.07084,0.9512862,0.576149542,693,693,1386,3
27,,2,5,1.622131754,2876.15546,0.81939244,0.99346841,1171,1169,2340,3
601,,1,6,2.239452258,3818.917352,0.33085442,0.018983031,78,80,158,3
600137,,1,6,2.409696521,838.9909367,0.38172042,0.007286846,29,31,60,3
601211,,1,6,2.335677276,2407.760592,0.4008739,0.037133153,89,75,164,3
600217,,2,6,2.579200592,0,1,8.60E-04,1,2,3,3
401,,2,5,1.594374537,10314.60876,0.7538122,0.996521723,1225,1224,2449,3
600881,,2,5,1.70688379,6842.736911,0.9289145,0.858437846,965,965,1930,3
2454,,2,5,1.718356773,6948.064363,0.94630253,0.852401946,949,951,1900,3
421,,2,6,1.858623242,2268.075674,0.9847456,0.57588465,681,680,1361,3
300016,,1,6,2.234641007,2512.425461,0.29854423,0.027170306,94,95,189,3
565,,1,6,2.509992598,64.27335383,0.25,0.002372149,12,12,24,3
776,,2,5,1.618060696,3898.54779,0.804979,0.994060315,1182,1174,2356,3
623,,2,5,1.61176906,11300.46664,0.79552037,0.994136352,1189,1189,2378,3
713,,1,6,2.261287935,3645.868712,0.2919414,0.031988072,90,90,180,3
686,,2,5,1.621391562,3746.667983,0.814036,0.993643436,1175,1171,2346,3
2220,,1,6,2.536639526,363.7860068,0.3181818,0.002847089,10,11,21,3
300195,,1,6,2.31569208,1512.728581,0.4765071,0.014364163,47,48,95,3
300236,,1,6,2.363804589,423.9225785,0.40246212,0.010704375,32,33,65,3
300327,,2,5,1.726128793,7470.423497,0.97896284,0.850620265,933,933,1866,3
600970,,2,5,1.596965211,14275.66391,0.74991924,0.99628444,1227,1227,2454,3
600958,,2,6,1.857512953,1073.219176,0.95946854,0.577041178,690,679,1369,3
748,,1,6,2.208364175,8326.225384,0.47214854,0.04389933,116,116,232,3
600112,,0,5,1.717246484,3267.837199,0.95458466,0.854859382,948,949,1897,3
750,,2,6,1.84900074,2832.26672,0.9465536,0.579857135,698,697,1395,3
839,,1,6,2.311991118,5101.211899,0.34513742,0.010614909,43,43,86,3
910,,1,6,2.214655811,5282.281002,0.3251907,0.027004046,98,98,196,3
2085,,1,6,2.249814952,2222.236429,0.33436853,0.020852358,68,70,138,3
2696,,1,6,2.338638046,2324.965129,0.2785844,0.016335502,57,58,115,3
600255,,1,6,2.415988157,627.2425877,0.34375,0.006669703,32,32,64,3
600356,,1,6,2.39415248,1866.810756,0.34900284,0.009081872,26,27,53,3
600992,,1,6,2.269059956,1845.845138,0.46049166,0.021002478,66,68,134,3
603898,,1,6,2.390451517,2995.801197,0.3123077,0.003350616,25,26,51,3
534,,1,6,2.16765359,5137.566941,0.4842702,0.037605412,129,132,261,3
783,,2,5,1.622131754,9608.895557,0.8084727,0.993626699,1179,1169,2348,3
668,,1,6,2.521095485,62.06574171,0.57051283,0.001325298,12,12,24,3
868,,1,6,2.324574389,1470.544907,0.27626264,0.011517208,44,45,89,3
980,,1,6,2.526276832,3250.204119,0.45604396,8.48E-04,13,14,27,3
2348,,1,6,2.370466321,1623.600679,0.25630254,0.005040613,34,35,69,3
2604,,1,6,2.420799408,476.4106238,0.3399471,0.008748154,27,28,55,3
300041,,1,6,2.363434493,711.0519722,0.5277778,0.01586962,36,37,73,3
