Source,Target,Sort,Time
509,1,1,2008/12/31
693,1,1,2008/12/31
42,6,1,2008/12/31
504,12,1,2008/12/31
519,27,1,2008/12/31
593,27,1,2008/12/31
601,27,1,2008/12/31
600137,27,1,2008/12/31
6,42,1,2008/12/31
593,519,1,2008/12/31
2230,521,1,2008/12/31
600346,530,1,2008/12/31
600728,530,1,2008/12/31
728,543,1,2008/12/31
426,562,1,2008/12/31
571,562,1,2008/12/31
620,562,1,2008/12/31
768,562,1,2008/12/31
2060,562,1,2008/12/31
600132,562,1,2008/12/31
600696,562,1,2008/12/31
600769,562,1,2008/12/31
600893,686,1,2008/12/31
600893,686,1,2008/12/31
600520,728,1,2008/12/31
600520,728,1,2008/12/31
600071,768,1,2008/12/31
990,783,1,2008/12/31
600322,783,1,2008/12/31
600499,783,1,2008/12/31
600499,783,1,2008/12/31
2051,923,1,2008/12/31
600837,600016,1,2008/12/31
12,600030,1,2008/12/31
600208,600030,1,2008/12/31
600336,600030,1,2008/12/31
600800,600030,1,2008/12/31
970,600051,1,2008/12/31
600857,600051,1,2008/12/31
600982,600051,1,2008/12/31
783,600068,1,2008/12/31
663,600103,1,2008/12/31
600573,600103,1,2008/12/31
600250,600128,1,2008/12/31
600287,600128,1,2008/12/31
600981,600128,1,2008/12/31
600155,600155,1,2008/12/31
600155,600155,1,2008/12/31
923,600166,1,2008/12/31
600218,600166,1,2008/12/31
600180,600180,1,2008/12/31
851,600198,1,2008/12/31
601111,600270,1,2008/12/31
600562,600287,1,2008/12/31
600562,600287,1,2008/12/31
600530,600611,1,2008/12/31
600676,600611,1,2008/12/31
600741,600611,1,2008/12/31
600633,600620,1,2008/12/31
601333,600642,1,2008/12/31
601333,600642,1,2008/12/31
600617,600643,1,2008/12/31
600530,600661,1,2008/12/31
600722,600722,1,2008/12/31
600722,600722,1,2008/12/31
783,600754,1,2008/12/31
2186,600754,1,2008/12/31
537,600800,1,2008/12/31
1,600837,1,2008/12/31
698,600837,1,2008/12/31
948,600837,1,2008/12/31
2107,600837,1,2008/12/31
600128,600837,1,2008/12/31
600284,600837,1,2008/12/31
600705,600837,1,2008/12/31
600759,600837,1,2008/12/31
600823,600837,1,2008/12/31
600665,600841,1,2008/12/31
600815,600841,1,2008/12/31
420,600893,1,2008/12/31
878,600900,1,2008/12/31
600021,600900,1,2008/12/31
600098,600900,1,2008/12/31
600287,600981,1,2008/12/31
200152,601111,1,2008/12/31
612,601600,1,2008/12/31
596,886,2,2008/12/31
600477,2222,2,2008/12/31
600580,600173,2,2008/12/31
600385,2015,2,2008/12/31
546,605,2,2008/12/31
2044,605,2,2008/12/31
600773,605,2,2008/12/31
1896,600815,2,2008/12/31
799,600993,2,2008/12/31
600281,600993,2,2008/12/31
600773,600993,2,2008/12/31
4,600818,2,2008/12/31
200160,600818,2,2008/12/31
2247,2019,2,2008/12/31
2168,600645,2,2008/12/31
600889,600490,2,2008/12/31
2240,600308,2,2008/12/31
2240,600617,2,2008/12/31
600889,600209,2,2008/12/31
65,600545,2,2008/12/31
600794,906,2,2008/12/31
930,600728,2,2008/12/31
2095,2020,2,2008/12/31
2256,600352,2,2008/12/31
99,692,2,2008/12/31
961,600350,2,2008/12/31
908,561,2,2008/12/31
200992,725,2,2008/12/31
600422,600682,2,2008/12/31
600145,600179,2,2008/12/31
2163,600760,2,2008/12/31
600145,600760,2,2008/12/31
600751,538,2,2008/12/31
600666,600596,2,2008/12/31
600873,600596,2,2008/12/31
2192,971,2,2008/12/31
600339,524,2,2008/12/31
200770,600316,2,2008/12/31
600793,600655,2,2008/12/31
2100,600146,2,2008/12/31
2090,601,2,2008/12/31
628,600240,2,2008/12/31
856,200041,2,2008/12/31
2168,799,2,2008/12/31
600237,799,2,2008/12/31
600681,799,2,2008/12/31
600168,928,2,2008/12/31
56,32,2,2008/12/31
600988,2177,2,2008/12/31
600039,2100,2,2008/12/31
600064,2052,2,2008/12/31
571,600401,2,2008/12/31
2196,600401,2,2008/12/31
600571,600401,2,2008/12/31
600575,600401,2,2008/12/31
600735,600358,2,2008/12/31
913,600732,2,2008/12/31
2035,600732,2,2008/12/31
600855,600826,2,2008/12/31
859,2196,2,2008/12/31
2196,600843,2,2008/12/31
2160,600561,2,2008/12/31
673,600187,2,2008/12/31
600496,600699,2,2008/12/31
2130,600861,2,2008/12/31
600767,2176,2,2008/12/31
600629,2101,2,2008/12/31
200041,200706,3,2008/12/31
200706,200041,3,2008/12/31
600029,600115,3,2008/12/31
600115,600029,3,2008/12/31
428,527,3,2008/12/31
428,2045,3,2008/12/31
428,600098,3,2008/12/31
428,600360,3,2008/12/31
527,428,3,2008/12/31
527,2045,3,2008/12/31
527,600098,3,2008/12/31
527,600360,3,2008/12/31
2045,428,3,2008/12/31
2045,527,3,2008/12/31
2045,600098,3,2008/12/31
2045,600360,3,2008/12/31
600098,428,3,2008/12/31
600098,527,3,2008/12/31
600098,2045,3,2008/12/31
600098,600360,3,2008/12/31
600360,428,3,2008/12/31
600360,527,3,2008/12/31
600360,2045,3,2008/12/31
600360,600098,3,2008/12/31
25,725,3,2008/12/31
25,600639,3,2008/12/31
25,900948,3,2008/12/31
725,25,3,2008/12/31
725,600639,3,2008/12/31
725,900948,3,2008/12/31
600639,25,3,2008/12/31
600639,725,3,2008/12/31
600639,900948,3,2008/12/31
900948,25,3,2008/12/31
900948,725,3,2008/12/31
900948,600639,3,2008/12/31
600059,600529,3,2008/12/31
600059,600592,3,2008/12/31
600529,600059,3,2008/12/31
600529,600592,3,2008/12/31
600592,600059,3,2008/12/31
600592,600529,3,2008/12/31
625,715,3,2008/12/31
625,2069,3,2008/12/31
625,600611,3,2008/12/31
625,600841,3,2008/12/31
715,625,3,2008/12/31
715,2069,3,2008/12/31
715,600611,3,2008/12/31
715,600841,3,2008/12/31
2069,625,3,2008/12/31
2069,715,3,2008/12/31
2069,600611,3,2008/12/31
2069,600841,3,2008/12/31
600611,625,3,2008/12/31
600611,715,3,2008/12/31
600611,2069,3,2008/12/31
600611,600841,3,2008/12/31
600841,625,3,2008/12/31
600841,715,3,2008/12/31
600841,2069,3,2008/12/31
600841,600611,3,2008/12/31
30,613,3,2008/12/31
613,30,3,2008/12/31
22,39,3,2008/12/31
39,22,3,2008/12/31
600015,600108,3,2008/12/31
600015,600388,3,2008/12/31
600015,601001,3,2008/12/31
600108,600015,3,2008/12/31
600108,600388,3,2008/12/31
600108,601001,3,2008/12/31
600388,600015,3,2008/12/31
600388,600108,3,2008/12/31
600388,601001,3,2008/12/31
601001,600015,3,2008/12/31
601001,600108,3,2008/12/31
601001,600388,3,2008/12/31
12,16,3,2008/12/31
12,418,3,2008/12/31
12,625,3,2008/12/31
12,869,3,2008/12/31
12,600054,3,2008/12/31
12,600801,3,2008/12/31
16,12,3,2008/12/31
16,418,3,2008/12/31
16,625,3,2008/12/31
16,869,3,2008/12/31
16,600054,3,2008/12/31
16,600801,3,2008/12/31
418,12,3,2008/12/31
418,16,3,2008/12/31
418,625,3,2008/12/31
418,869,3,2008/12/31
418,600054,3,2008/12/31
418,600801,3,2008/12/31
625,12,3,2008/12/31
625,16,3,2008/12/31
625,418,3,2008/12/31
625,869,3,2008/12/31
625,600054,3,2008/12/31
625,600801,3,2008/12/31
869,12,3,2008/12/31
869,16,3,2008/12/31
869,418,3,2008/12/31
869,625,3,2008/12/31
869,600054,3,2008/12/31
869,600801,3,2008/12/31
600054,12,3,2008/12/31
600054,16,3,2008/12/31
