ListedCoID,SecurityID,Symbol,ShortName,EndDate,IndustryName,IndustryCode,RegisterAddress,OfficeAddress,Zipcode,Secretary,SecretaryTel,SecretaryFax,SecretaryEmail,SecurityConsultant,SocialCreditCode,Lng,Lat,ISIN,FullName,LegalRepresentative,EstablishDate,Crcd,RegisterCapital
101704,2.01E+11,1,深发展A,2007/12/31,货币金融服务,J66,中国广东省深圳市,深圳市深南东路5047号深圳发展银行大厦,518001,徐进,0755-82080387,0755-82080386,dsh@sdb.com.cn,吕旭光,,114.1077368,22.54068139,CNE000000040,深圳发展银行股份有限公司,法兰克纽曼,1987/12/22 0:00,,2293407145
101775,2.01E+11,2,万科A,2007/12/31,房地产业,K70,中国深圳市盐田区大梅沙万科东海岸裙楼C02,中国深圳市福田区梅林路63号万科建筑研究中心,518049,肖莉,0755-25606666,0755-25531696,IR@vanke.com,梁洁,,114.0625803,22.56826511,CNE0000000T2,万科企业股份有限公司,王石,1988/11/1 0:00,200002,6872006387
102294,2.01E+11,4,ST 国农,2007/12/31,道路运输业,G54,深圳市蛇口新时代广场27楼A-D,深圳市福田区商报路奥林匹克大厦6楼D-E,518057,蒋伟诚,0755-83521596,0755-83521727,gnkjsz@126.com,李璐,91440300192441969E,114.0476692,22.55087639,CNE0000000Y2,深圳中国农大科技股份有限公司,王克昕,1986/5/5 0:00,,83976684
102295,2.01E+11,5,ST 星源,2007/12/31,综合,S90,深圳市人民南路发展中心大厦13楼,深圳市人民南路发展中心大厦13楼,518001,罗晓春,0755-82208888,0755-82207055,xiaochun@sfc.com.cn,罗晓春,,114.1190903,22.53841528,CNE0000001L7,深圳世纪星源股份有限公司,丁芃,1990/2/1 0:00,,914333607
102296,2.01E+11,6,深振业A,2007/12/31,房地产业,K70,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,深圳市罗湖区宝安南路2014号振业大厦B座11-17层,518008,方东红,0755-25863061,0755-25863012,szzygp@public.szptt.net.cn,杜汛,91440300618831041G,114.1113668,22.54396139,CNE000000164,深圳市振业(集团)股份有限公司,李永明,1989/4/1 0:00,,253591631
102313,2.01E+11,7,ST 达声A,2007/12/31,房地产业,K70,深圳市华强北路现代之窗大厦A座25楼,深圳市华强北路现代之窗大厦A座25楼,518031,夏斓,0755-83280053,0755-83280089,stock0007@126.com,,,114.0869444,22.54372952,CNE0000000P0,深圳市赛格达声股份有限公司,练卫飞,1988/11/21 0:00,,184965363
102314,2.01E+11,8,*ST 宝投,2007/12/31,互联网和相关服务,I64,深圳市南山区内环路5号锦兴小区管理楼二楼,深圳市南山区内环路5号锦兴小区管理楼二楼,518064,邱大庆,0755-26433212,0755-26433485,sqdq@163.com,,91110000192184333K,113.9311501,22.50733958,CNE0000001C6,广东宝利来投资股份有限公司,周瑞堂,1989/10/11 0:00,,73653208
102336,2.01E+11,9,S 深宝安A,2007/12/31,综合,S90,深圳市笋岗东路1002号宝安广场A座28-29层,深圳市笋岗东路1002号宝安广场A座28-29层,518020,娄兵,0755-25170336,"0755-25170300,25170367",loubing@163.net,陈晓东,,114.1217817,22.55674643,CNE000000222,中国宝安集团股份有限公司,陈政立,1990/9/1 0:00,,958810042
102338,2.01E+11,10,SST 华新,2007/12/31,零售业,F52,深圳市福田区振兴路华美大厦西座530室,深圳市福田区振兴路华美大厦西座530室,518031,杨磊,0755-83276308,0755-83256104,szhuaxin@21cn.net,,91110000192181597U,114.0909543,22.54630931,CNE000000156,深圳市华新股份有限公司,严立虎,1988/12/13 0:00,,147017448
101859,2.01E+11,11,S 深物业A,2007/12/31,综合,S90,"深圳市人民南路国贸大厦39层,42层","深圳市人民南路国贸大厦39层,42层",518014,郭玉梅,0755-82211020,"0755-82210610,82212043",000011touzizhe@163.com,,,114.1197403,22.54049528,CNE000000248,深圳市物业发展(集团)股份有限公司,陈玉刚,1983/1/17 0:00,200011,541799175
