ListedCoID,SecurityID,Symbol,ShortName,EndDate,IndustryName,IndustryCode,RegisterAddress,OfficeAddress,Zipcode,Secretary,SecretaryTel,SecretaryFax,SecretaryEmail,SecurityConsultant,SocialCreditCode,Lng,Lat,ISIN,FullName,LegalRepresentative,EstablishDate,Crcd,RegisterCapital,Website
101704,2.01E+11,1,平安银行,2017/12/31,货币金融服务,J66,广东省深圳市罗湖区深南东路5047号,广东省深圳市深南东路5047号,518001,周强,0755-82080387,0551-63689787,zmq@helichina.com,胡彦军,91440300192185379H,114.1077368,22.54068139,CNE000000040,平安银行股份有限公司,谢永林,1987/12/22 0:00,,740180802,www.bank.pingan.com
101775,2.01E+11,2,万科A,2017/12/31,房地产业,K70,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省深圳市盐田区大梅沙环梅路33号万科中心,518083,朱旭,,0551-63868248,zhhb@ahzhhb.cn,侯琼玲,91440300192181490G,114.3029745,22.59684124,CNE0000000T2,万科企业股份有限公司,郁亮,1988/11/1 0:00,2202,106670000,www.vanke.com
102294,2.01E+11,4,国农科技,2017/12/31,医药制造业,C27,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,518045,徐文苏,0755-83521596,0551-65391322,wangxiangxin@sun-create.com,杨梦,91440300192441969E,113.9409505,22.51130868,CNE0000000Y2,深圳中国农大科技股份有限公司,李林琳,1986/5/5 0:00,,159179110,www.sz000004.cn
102295,2.01E+11,5,世纪星源,2017/12/31,生态保护和环境治理业,N77,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,518001,罗晓春,0755-82208888,0551-65320313,bin_fang@whirlpool-china.com,孙亚萍,9.14403E+17,114.1281782,22.54432265,CNE0000001L7,深圳世纪星源股份有限公司,丁芃,1990/2/1 0:00,,766439000,www.fountain.com.cn
102296,2.01E+11,6,深振业A,2017/12/31,房地产业,K70,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,518008,杜汛,0755-25863381,0551-65324976,lyl@gzep.com.cn,艾娟,91440300618831041G,114.1113668,22.54396139,CNE000000164,深圳市振业(集团)股份有限公司,赵宏伟,1989/4/1 0:00,,305668467,www.zhenye.com
102313,2.01E+11,7,全新好,2017/12/31,房地产业,K70,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,518049,陈伟彬,0755-83280053,0755-83281722,867904718@qq.com,,9144030019217870XW,114.0615603,22.57105511,CNE0000000P0,深圳市全新好股份有限公司,智德宇,1988/11/21 0:00,,346448044,www.sz000007.com
102314,2.01E+11,8,神州高铁,2017/12/31,铁路、船舶、航空航天和其它运输设备制造业,C37,北京市海淀区高梁桥斜街59号院1号楼16层1606,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,100044,王志刚,010-56500561,010-56500561,dongmi@shenzhou-gaotie.com,侯小婧,91110000192184333K,116.3489737,39.94429858,CNE0000001C6,神州高铁技术股份有限公司,王志全,1989/10/11 0:00,,2817897810,www.shenzhou-gaotie.com
102336,2.01E+11,9,中国宝安,2017/12/31,综合,S90,广东省深圳市笋岗东路1002号宝安广场A座28-29层,广东省深圳市笋岗东路1002号宝安广场A座28-29层,518020,郭山清,0755-25170336,0755-25170367,zgbajt@163.net,唐智乐,9144030019219665XD,114.1217817,22.55674643,CNE000000222,中国宝安集团股份有限公司,陈政立,1990/9/1 0:00,,2149344971,www.chinabaoan.com
102338,2.01E+11,10,美丽生态,2017/12/31,土木工程建筑业,E48,广东省深圳市宝安区西乡街道宝安桃花源科技创新园主园A栋孵化大楼321-322室,广东省深圳市福田区中心四路1-1号嘉里建设广场第三座3201室,518048,单军,0755-33228575,0755-33375373,shenhuaxin000010@163.com,赵明珍;何婷,91110000192181597U,114.0572199,22.53528504,CNE000000156,深圳美丽生态股份有限公司,贾明辉,1988/12/13 0:00,,819854713,
101859,2.01E+11,11,深物业A,2017/12/31,房地产业,K70,广东省深圳市人民南路国贸大厦39层、42层,广东省深圳市人民南路国贸大厦39层、42层,518014,范维平,0755-82211020,"0755-82210610,82212043",000011touzizhe@szwuye.com.cn,钱忠;丁名华,91440300192174135N,114.1197923,22.54070528,CNE000000248,深圳市物业发展(集团)股份有限公司,陈玉刚,1983/1/17 0:00,200011,595979092,www.szwuye.com.cn
101860,2.01E+11,12,南玻A,2017/12/31,非金属矿物制品业,C30,广东省深圳市蛇口工业六路一号南玻大厦,广东省深圳市蛇口工业六路一号南玻大厦,518067,杨昕宇,0755-26860666,0755-26860685,securities@csgholding.com,,9.14403E+17,113.9185834,22.49288153,CNE0000002R2,中国南玻集团股份有限公司,陈琳,1984/9/10 0:00,200012,2484147547,www.csgholding.com
101621,2.01E+11,14,沙河股份,2017/12/31,房地产业,K70,广东省深圳市南山区白石路2222号沙河世纪楼,广东省深圳市南山区白石路2222号沙河世纪楼,518053,王凡,0755-86091298,0755-86090688,wf000014@163.com,,9.14403E+17,113.9666249,22.53134382,CNE0000003G3,沙河实业股份有限公司,陈勇,1992/4/21 0:00,,201705187,www.shahe.cn
101623,2.01E+11,16,深康佳A,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,广东省深圳市南山区粤海街道科技园科技南十二路28号康佳研发大厦15-24层,518057,吴勇军,0755-61368867,0755-26601139,szkonka@konka.com,苗雷强,9.14403E+17,113.9569666,22.5392433,CNE0000002T8,康佳集团股份有限公司,刘凤喜,1980/10/1 0:00,200016,2407945408,www.konka.com
101711,2.01E+11,17,深中华A,2017/12/31,铁路、船舶、航空航天和其它运输设备制造业,C37,广东省深圳市布心路3008号,广东省深圳市笋岗东路3002号万通大厦1201,518023,孙龙龙,"0755-25516998,28181666",0755-28181009,dmc@szcbc.com,崔红霞;钟小津,9.14403E+17,114.1246824,22.574297,CNE0000002Q4,深圳中华自行车(集团)股份有限公司,李海,1992/3/12 0:00,200017,551347947,www.cbc.com.cn
101712,2.01E+11,18,神州长城,2017/12/31,建筑装饰和其他建筑业,E50,广东省深圳市大鹏新区葵涌街道白石岗葵鹏路26号,北京市经济技术开发区锦绣街3号神州长城大厦,100176,杨春玲,010-89045855,010-89045856,1208806865@qq.com,马芹,91440300618801483A,116.517075,39.78735443,CNE0000002S0,神州长城股份有限公司,陈略,1992/5/9 0:00,200018,1698245011,www.sgwde.com
101629,2.01E+11,19,深深宝A,2017/12/31,酒、饮料和精制茶制造业,C15,广东省深圳市南山区粤海街道学府路科技园南区软件产业基地4栋B座8层,广东省深圳市南山区学府路科技园南区软件产业基地4栋B座8层,518057,李亦研,0755-82027522,0755-82027522,lyy@sbsy.com.cn,黄冰夏,91440300192180754J,113.9372105,22.52286917,CNE000000354,深圳市深宝实业股份有限公司,郑煜曦,1992/8/6 0:00,200019,496782303,www.sbsy.com.cn
101631,2.01E+11,20,深华发A,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市福田区华发北路411栋,广东省深圳市南山区大冲商务中心2号楼33层,518057,杨斌,0755-86360220,0755-86360206,huafainvestor@126.com.cn,牛玉香,91440300618830372G,113.9524945,22.54071325,CNE0000002V4,深圳中恒华发股份有限公司,李中秋,1992/3/20 0:00,200020,283161227,www.hwafa.com.cn
101632,2.01E+11,21,深科技,2017/12/31,计算机、通信和其他电子设备制造业,C39,广东省深圳市福田区彩田路7006号,广东省深圳市福田区彩田路7006号,518035,李丽杰,0755-83205285,0755-83275075,stock@kaifa.cn,,91440300618873567Y,114.0682356,22.56174375,CNE000000FK4,深圳长城开发科技股份有限公司,谭文鋕,1993/12/29 0:00,,1471259363,www.kaifa.cn
101633,2.01E+11,22,深赤湾A,2017/12/31,水上运输业,G55,广东省深圳市南山区招商街道赤湾石油大厦八楼,广东省深圳市南山区招商街道赤湾石油大厦八楼,518067,王永立,0755-26694222,0755-26684117,cwh@szcwh.com,胡静競;陈丹,91440300618832968J,113.8910111,22.47868791,CNE000000818,深圳赤湾港航股份有限公司,白景涛,1993/3/21 0:00,200022,644763730,www.szcwh.com
101721,2.01E+11,23,深天地A,2017/12/31,非金属矿物制品业,C30,广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,广东省深圳市南山区高新技术产业园(北区)朗山路东物商业大楼10楼,518057,侯剑,0755-86154212,0755-86154040,std000023@vip.163.com,张茹;李佳杏,91440300192192827L,113.950801,22.55682312,CNE000000834,深圳市天地(集团)股份有限公司,杨国富,1984/9/18 0:00,,138756240,www.sztiandi.com
101778,2.01E+11,25,特力A,2017/12/31,批发业,F51,广东省深圳市罗湖区水贝二路特力大厦三楼,广东省深圳市福田区深南中路中核大厦十五楼,518031,祁鹏,0755-83989378,0755-83989386,ir@tellus.cn,孙博伦,,114.1240284,22.571297,CNE0000008N8,深圳市特力(集团)股份有限公司,吕航,1993/4/18 0:00,200025,297281600,www.tellus.cn
101779,2.01E+11,26,飞亚达A,2017/12/31,零售业,F52,广东省深圳市南山区高新南一道飞亚达科技大厦,广东省深圳市南山区高新南一道飞亚达科技大厦20楼,518057,陆万军,0755-86013669,0755-83348369,investor@fiyta.com.cn,张勇,91440300192189783K,113.9559196,22.5392433,CNE000000875,飞亚达(集团)股份有限公司,黄勇峰,1993/4/18 0:00,200026,438744881,www.fiytagroup.com
