Source Target
x @waffler22
x @waffler22
x @waffler22
x @waffler22
x @wangxm
x @wangxm
x @wangxm
x @wangxm
t 1分
t 3分
x F
x F
x F
x F
x F
x F
x LF4T
x Ta
x Ta
x Ta
x Ta
x Ta
x Ta
x Ta
x Ta
x Ta
x TaFFTb
x TaFFTb
x TaFFTb
x TaFFTb
x TaFFTb
x TaFFTb
x TaFFTb
x Tb
x Tb
x Tb
x Tb
x Tb
x Tb
x Tb
x Tb
x Twitter
v 把
v 把
y 吧
v 办
v 包含
p 比
d 比较
d 比较
d 比较
v 比如
v 表示
v 表示
c 并且
d 不
d 不
v 参与
v 参与
v 参与
n 层面
n 层面
n 差异
n 差异
n 差异
n 差异
v 尝试
a 抽象
v 出
n 出发点
p 从
v 打分
v 打分
a 大
a 大
n 大小
c 但
c 但
v 到
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
u 的
v 等
a 低
n 东西
p 对
v 对应
m 多
r 多少
v 反映
n 方面
n 方式
n 方式
n 方式
n 方式
d 非常
v 分
d 分别
d 分别
v 分为
n 分值
n 分值
n 分值
n 分值
v 否认
c 否则
a 高
a 高
q 个
q 个
q 个
q 个
q 个
q 个
q 个
q 个
q 个
r 各
v 给
v 跟随
v 跟随
d 更
d 更
d 更
d 更
d 更
d 共
d 共同
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 关系
n 过程
d 还
n 含义
n 好友
n 好友
n 好友
p 和
p 和
p 和
p 和
m 很多
v 忽略
d 互相
v 会
c 或
n 基础
v 计
v 计算
v 加
v 加
n 价值
v 见
v 见
n 箭头
n 节点
n 节点
n 节点
n 结论
n 精神
m 九
m 九
m 九
m 九
m 九
m 九
a 具体
a 具体
v 看
v 靠
v 可能
v 可能
v 可以
v 可以
v 可以
v 可以
v 可以
v 可以
v 来自
v 来自
y 了
n 类型
n 类型
n 类型
n 类型
n 类型
n 类型用户
v 理解
n 例
m 两
m 两
m 两
m 两
d 另外
m 六
n 路径
n 路径
n 满分
r 每
r 每
v 萌生
v 描述
n 模型
n 模型
n 模型
n 模型
n 模型
n 模型
n 模型
v 能够
r 你
v 排列
n 票
n 票
n 票
v 评分
v 评分
v 评分
v 评分
v 评分
v 评分
n 评论
v 谱
f 前
n 情况
n 权
n 权力
n 人
v 认为
v 如果
v 如果
m 三
m 三
m 三
f 上
v 上去
n 上图
d 稍微
v 设想
v 设想
v 实测
n 实际
n 实例
v 使用
v 是
v 是
v 是
v 是
v 是
v 是
v 是
v 是
v 是
v 是
v 受
r 谁
r 谁
r 谁
r 谁
r 谁
r 谁
r 谁
n 顺序
v 说明
v 算是
c 虽然
c 所以
r 他
r 他们
r 他们
b 天然
v 听
v 投票
v 投票
n 图
n 图
n 网络
n 网络
a 微弱
a 微弱
a 微小
v 为
v 为
v 为
v 为
n 文本
n 问题
v 无法
v 无法
d 无论如何
n 物质
v 喜欢
f 下
f 下
f 下
f 下
f 下面
v 显示
t 现在
d 相
n 消息
n 信息
v 形成
v 形成
t 眼前
n 样子
d 也
d 也
d 也
d 也
v 也就是说
m 一
m 一
m 一
m 一
m 一
m 个
m 个 
m 个
m 个
m 一些
m 一些
m 一些
p 以
p 以
p 以
p 以
n 因素
p 因为
n 影响力
v 用
v 用
v 用
n 用户
n 用户
n 优势
p 由
v 有
v 有
v 有
v 有
c 于是
p 与
p 与
n 圆
p 在
p 在
p 在
p 在
p 在
p 在
p 在
d 则
d 则
v 增加
v 展示
r 这
r 这
r 这
r 这
r 这个
r 这里
r 这些
r 这些
r 这种
v 着
n 着眼点
d 只
f 中
f 中
f 中
f 中
f 中
f 中
f 中
f 中
f 中
f 中
f 中间
v 种
v 种
v 种
v 种
v 种
v 种
v 种
v 重
v 重
d 逐渐
d 主要
v 转发
n 组
n 组
n 组
n 组
n 组合
v 做
