ListedCoID,SecurityID,Symbol,ShortName,EndDate,IndustryName,IndustryCode,RegisterAddress,OfficeAddress,Zipcode,Secretary,SecretaryTel,SecretaryFax,SecretaryEmail,SecurityConsultant,SocialCreditCode,Sigchange,Lng,Lat,ISIN,FullName,LegalRepresentative,EstablishDate,Crcd,RegisterCapital,Website,BusinessScope
上市公司ID',证券ID',股票代码',股票简称',年度区间',行业名称',行业代码',注册具体地址',公司办公地址',办公地址邮政编码',董事会秘书',董秘联系电话',董秘传真',董秘电子邮箱',证券事务代表',统一社会信用代码',重大变更',经度',纬度',ISIN编码',中文全称',法人代表',公司成立日期',ABH股交叉码',注册资本',公司网址',经营范围'
没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位',没有单位'
101704,201000000001 ,000001,平安银行,2017-12-31,货币金融服务,J66,广东省深圳市罗湖区深南东路5047号,广东省深圳市深南东路5047号,518001,周强,0755-82080387,0551-63689787,zmq@helichina.com,胡彦军,91440300192185379H,报告期内公司无收购及出售资产、吸收合并事项,22.54068139,114.1077368,CNE000000040,平安银行股份有限公司,谢永林,1987-12-22 00:00:00.,,740180802.00 ,www.bank.pingan.com,叉车、装载机、工程机械、矿山起重运输机械及配件、铸锻件、热处理件制造及产品销售。金属材料、化工原料(不含危险品)、电子产品、电器机械、橡胶产品销售;机械行业科技咨询、信息服务;房屋、设备资产租赁。
101775,201000000002 ,000002,万科A,2017-12-31,房地产业,K70,广东省深圳市盐田区大梅沙环梅路33号万科中心,广东省深圳市盐田区大梅沙环梅路33号万科中心,518083,朱旭,,0551-63868248,zhhb@ahzhhb.cn,侯琼玲,91440300192181490G,报告期内公司无收购及出售资产、吸收合并事项,114.3029745,22.59684124,CNE0000000T2,万科企业股份有限公司,郁亮,1988-11-01 00:00:00.,02202,106670000.00 ,www.vanke.com,"环保科技技术开发、咨询及转让服务;环境污染防治工程施工;环境工程设计;环境污染治理设施管理;城市生活垃圾处理工程设计及施工;环保监测仪器、设备、环保建材、环保型保护膜开发、销售;市政工程、地下管廊工程、海绵城市工程;机电安装、自动化、智能化系统工程;生态治理、黑臭水体治理、人工湿地工程、土壤修复;园林、景观、绿化工程;房屋租赁、仓储(除危险品);环境污染治理设施运营(限分支机构)(以上凡涉及行政许可的项目均凭许可证件经营)。(依法须经批准的项目,经相关部门批准后方可开展经营活动)。"
102294,201000000004 ,000004,国农科技,2017-12-31,医药制造业,C27,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,广东省深圳市南山区中心路(深圳湾段)3333号中铁南方总部大厦503室,518045,徐文苏,0755-83521596,0551-65391322,wangxiangxin@sun-create.com,杨梦,91440300192441969E,报告期内公司无收购及出售资产、吸收合并事项,113.9409815,22.51143468,CNE0000000Y2,深圳中国农大科技股份有限公司,李林琳,1986-05-05 00:00:00.,,159179110.00 ,www.sz000004.cn,"卫星电视广播地面接收设备设计、生产、安装、销售;雷达整机及其配套产品、集成电路、广播电视及微波通信产品、电子系统工程及其产品的设计、研制、生产、销售、出口、服务;有线电视工程设计安装(乙级),校园网工程建设,安全技术防范工程设计、施工、维修;应急指挥通信系统、城市智能交通视频监控系统研发、生产与集成;卫星导航集成电路及用户机的研发、生产与运营;电源和特种元件的研发、生产;车辆销售;家用电器、电子产品、通信设备销售;移动电话机及移动通信终端的研发、生产、销售和服务;新能源产品技术研发、生产、销售及光伏电站项目开发、建设、运营管理;本企业生产所需的原辅材料、仪器仪表、机械设备、零配件及技术进口;承包境外建筑智能化系统集成工程的勘测、咨询、设计和监理,上述境外项目所需设备、材料出口;对外派遣实施上述境外项目所需劳务人员。(以上项目涉及前置许可的,凭许可证经营)。"
102295,201000000005 ,000005,世纪星源,2017-12-31,生态保护和环境治理业,N77,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,广东省深圳市罗湖区深南东路2017号华乐大厦3楼,518001,罗晓春,0755-82208888,0551-65320313,bin_fang@whirlpool-china.com,孙亚萍,914403006188470942,报告期内公司无收购及出售资产、吸收合并事项,114.1281782,22.54432265,CNE0000001L7,深圳世纪星源股份有限公司,丁芃,1990-02-01 00:00:00.,,766439000.00 ,www.fountain.com.cn,洗衣机、冰箱、微波炉、洁身器、空气净化器及其他相关产品、电子程控器、离合器、电机、控制器的生产、销售、服务和仓储;冷冻箱、冷藏箱、清洁机、干衣机、照明设备、灯具、抽油烟机、燃气灶、灶具、消毒柜、洗碗机、电蒸炉及厨房电器销售服务。
102296,201000000006 ,000006,深振业A,2017-12-31,房地产业,K70,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,广东省深圳市罗湖区宝安南路2014号振业大厦B座11-17层,518008,杜汛,0755-25863381,0551-65324976,lyl@gzep.com.cn,艾娟,91440300618831041G,报告期内公司无收购及出售资产、吸收合并事项,22.54396139,114.1113668,CNE000000164,深圳市振业(集团)股份有限公司,赵宏伟,1989-04-01 00:00:00.,,305668467.00 ,www.zhenye.com,水环境治理综合服务、工业废水处理综合服务和小城镇环境治理综合服务。
102313,201000000007 ,000007,全新好,2017-12-31,房地产业,K70,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,广东省深圳市福田区梅林街道梅康路8号理想时代大厦6楼,518049,陈伟彬,0755-83280053,0755-83281722,867904718@qq.com,,9144030019217870XW,"出售重大股权情况:交易对方:宁波梅山保税港区泓钧资产管理有限公司;被出售股权:上海量宽信息技术有限公司51.22%股权;出售日:2017年06月21日;交易价格(万元):15,129.86;出售对公司的影响:致报告期公司净利润较上年同期大幅上升;股权出售定价原则:协议约定回购价格;是否为关联交易:是;与交易对方的关联关系:公司第一大股东实际控制人控制之企业;所涉及的股权是否已全部过户:是;是否按计划如期实施,如未按计划实施,应当说明原因及公司已采取的措施:是;披露日期:2017年06月04日;披露索引:《证券时报》、《证券日报》、《上海证券报》、《中国证券报》及巨潮资讯网",22.57105511,114.0615603,CNE0000000P0,深圳市全新好股份有限公司,智德宇,1988-11-21 00:00:00.,,346448044.00 ,www.sz000007.com,自有房屋租赁、物业管理及停车场经营等业务。
102314,201000000008 ,000008,神州高铁,2017-12-31,铁路、船舶、航空航天和其它运输设备制造业,C37,北京市海淀区高梁桥斜街59号院1号楼16层1606,北京市海淀区高梁桥斜街59号院1号楼中坤大厦16层,100044,王志刚,010-56500561,010-56500561,dongmi@shenzhou-gaotie.com,侯小婧,91110000192184333K,"出售重大股权情况:交易对方:深圳市信捷供应链有限公司;被出售股权:宝利鑫达100%股权;出售日:2017年12月28日;交易价格(万元):47,000;本期净利润(万元):-17.31;出售对公司的影响:聚焦主业,交易实现收益44,608万元;净利润占比:45.96%;股权出售定价原则:公开征集报价;是否关联交易:否;交易对方关联关系:无;是否已全部过户:是;是否按计划实施:是;披露日期:2017年12月09日;披露索引:巨潮资讯网,公告编号:2017116",39.94429858,116.3489737,CNE0000001C6,神州高铁技术股份有限公司,王志全,1989-10-11 00:00:00.,,2817897810.00 ,www.shenzhou-gaotie.com,"轨道交通、计息机网络的技术开发、技术咨询、技术转让、技术服务;销售开发后的产品;计算机系统服务;货物进出口;技术进出口;代理进出口;项目投资;物业管理。(企业依法自主选择经营项目,开展经营活动;依法须经批准的项目,经相关部门批准后依批准的内容开展经营活动;不得从事本市产业政策禁止和限制类项目的经营活动。)。"
102336,201000000009 ,000009,中国宝安,2017-12-31,综合,S90,广东省深圳市笋岗东路1002号宝安广场A座28-29层,广东省深圳市笋岗东路1002号宝安广场A座28-29层,518020,郭山清,0755-25170336,0755-25170367,zgbajt@163.net,唐智乐,9144030019219665XD,报告期内公司无收购及出售资产、吸收合并事项,114.1217817,22.55674643,CNE000000222,中国宝安集团股份有限公司,陈政立,1990-09-01 00:00:00.,,2149344971.00 ,www.chinabaoan.com,新材料、新能源材料、新能源等高新技术产业项目的投资及经营;现代生物医药项目的投资及经营;房地产开发经营。
