Id,Label,Modularity Class,Eccentricity,Closeness Centrality,Betweenness Centrality,Clustering Coefficient,Eigenvector Centrality,In-degress,Out-degree,Degree,Group
300093,,7,5,2.919379845,322.2055874,0.46666667,0.010622428,9,10,19,1
12,,5,4,2.21124031,21081.50667,0.39586434,0.397640061,155,155,310,1
593,,7,5,2.438372093,24526.25269,0.43425927,0.08414583,80,81,161,1
27,,2,5,2.598062016,1858.40989,0.26050422,0.054606245,35,32,67,1
601,,13,5,2.253488372,19525.22745,0.25795183,0.23970506,147,148,295,1
600137,,7,5,2.682170543,7102.857199,0.23399015,0.024345458,28,29,57,1
18,,4,5,2.594186047,1280.452094,0.56989247,0.05333227,31,31,62,1
36,,5,5,2.29496124,7580.180903,0.7118674,0.309397368,106,107,213,1
600217,,3,5,2.26124031,13612.16167,0.19506012,0.176548736,117,118,235,1
401,,3,5,2.369767442,11820.14467,0.26496026,0.1822481,93,91,184,1
600881,,0,5,2.255813953,12460.20314,0.28951678,0.204764882,109,110,219,1
2454,,13,5,2.411627907,6680.229711,0.31754386,0.108569922,74,76,150,1
421,,4,5,2.652325581,1177.920252,0.61290324,0.051565407,30,30,60,1
776,,8,5,2.903875969,612.1487776,0.4714795,0.051759845,34,18,52,1
623,,8,4,2.266666667,18523.69107,0.2120817,0.201200522,118,118,236,1
916,,7,5,2.854263566,462.4298625,0.43421054,0.028713888,19,19,38,1
686,,8,5,2.847286822,914.9692434,0.4116809,0.039438112,26,21,47,1
2060,,4,5,2.625581395,2569.715771,0.23333333,0.037486137,29,30,59,1
2618,,13,5,2.336046512,7548.576011,0.26127577,0.143500673,96,95,191,1
600123,,7,5,2.501937984,9268.929475,0.3135965,0.080403228,56,57,113,1
600195,,8,4,2.226356589,12615.24678,0.5660377,0.628809733,158,158,316,1
600810,,7,4,2.377906977,20215.18234,0.20341615,0.118628659,91,92,183,1
600958,,8,5,2.831782946,60.19888491,0.45238096,0.036853683,13,15,28,1
748,,9,5,2.342248062,10278.09035,0.39525765,0.205807179,103,103,206,1
26,,5,5,2.203100775,20622.99759,0.35834453,0.322082043,148,150,298,1
797,,4,5,2.548062016,1658.764619,0.36945033,0.066144203,43,43,86,1
2085,,2,4,2.364341085,8113.387239,0.20987654,0.095680938,79,82,161,1
2111,,9,5,2.241860465,16584.56781,0.3142745,0.249028453,133,134,267,1
2344,,0,5,2.360852713,8046.272033,0.35968083,0.148288365,81,82,163,1
300041,,0,5,2.209302326,23284.8073,0.20824733,0.250600908,151,153,304,1
300086,,0,5,2.418992248,1473.122554,0.35783425,0.103250787,57,58,115,1
300170,,0,5,2.497674419,3238.930087,0.31911677,0.072171113,57,58,115,1
300180,,2,5,2.69496124,165.4782893,0.83986926,0.026472299,17,18,35,1
300261,,13,5,2.338372093,5484.399669,0.3302448,0.150021581,93,94,187,1
300298,,1,5,2.303488372,9395.17655,0.22701736,0.127266348,88,89,177,1
300325,,5,4,2.102325581,23608.51875,0.346955,0.613383497,230,233,463,1
600143,,4,5,2.436046512,1382.420821,0.46235293,0.091672698,50,51,101,1
600356,,3,5,2.431782946,3130.562334,0.3808081,0.099144497,53,55,108,1
600867,,0,4,2.321317829,6494.372092,0.22283076,0.168393703,96,97,193,1
600992,,8,5,2.584108527,3412.231073,0.34576613,0.040359142,31,32,63,1
415,,0,5,2.609302326,366.7057578,0.9174603,0.047898586,35,36,71,1
783,,0,5,2.875581395,2102.831631,0.475,0.074889398,55,21,76,1
534,,7,4,2.36744186,13905.27413,0.30891332,0.101240798,90,91,181,1
668,,0,5,2.570930233,971.0179477,0.68873405,0.059437971,41,42,83,1
828,,0,5,2.446511628,2993.618889,0.47593865,0.083426827,61,61,122,1
980,,0,5,2.48875969,3838.943441,0.4430468,0.071905873,53,54,107,1
2154,,0,5,2.61124031,0,0.9714286,0.047644049,34,35,69,1
2235,,0,5,2.385658915,9981.650879,0.27471307,0.084966466,73,74,147,1
2249,,4,5,2.350387597,6114.295741,0.42096528,0.14717596,88,89,177,1
2274,,5,5,2.21744186,19887.56881,0.46206897,0.3510844,143,144,287,1
2295,,0,5,2.550387597,602.9641669,0.70963997,0.065328284,41,42,83,1
2386,,0,5,2.394573643,11245.3853,0.2820513,0.093589753,76,78,154,1
2396,,0,4,2.169379845,27660.5594,0.2351933,0.334113599,177,178,355,1
2621,,0,5,2.601550388,46.51404716,0.9190476,0.047644049,34,36,70,1
2637,,0,5,2.522093023,1178.337274,0.6181818,0.062824126,44,45,89,1
2638,,4,5,2.36124031,3754.235672,0.47223037,0.140967638,82,83,165,1
2687,,5,4,2.23255814,8034.587189,0.4655611,0.305034789,133,135,268,1
2692,,5,4,2.23255814,8034.587189,0.4655611,0.305034789,133,135,268,1
300038,,4,5,2.332945736,15085.08215,0.27094072,0.115225086,95,97,192,1
300062,,7,5,2.493023256,5655.853433,0.5176152,0.085261744,81,82,163,1
300346,,0,5,2.426744186,6674.946584,0.41503146,0.118153338,73,74,147,1
300366,,0,5,2.527131783,6301.522753,0.5809436,0.067640184,46,47,93,1
600004,,8,5,2.16627907,22986.82024,0.3874746,0.729045836,210,211,421,1
600135,,13,4,2.280232558,14477.89965,0.30550194,0.162179762,111,112,223,1
600165,,0,5,2.604263566,162.8550287,0.9174603,0.048158046,35,36,71,1
600288,,0,4,2.402713178,12729.84992,0.32038543,0.093262796,81,82,163,1
600339,,0,5,2.555426357,5069.185103,0.5411765,0.056400193,50,51,101,1
600345,,0,5,2.473643411,3846.949215,0.4304682,0.071042036,52,53,105,1
600456,,9,5,2.329457364,7785.930187,0.39808175,0.229275645,109,110,219,1
600520,,0,5,2.543410853,11211.43225,0.56984276,0.053887534,46,47,93,1
600734,,0,5,2.568217054,1774.611537,0.68641114,0.052043896,41,42,83,1
600758,,7,5,2.341860465,13736.81661,0.37089247,0.116541571,103,104,207,1
600768,,0,5,2.575581395,4315.696032,0.62896407,0.051029483,43,44,87,1
600776,,5,5,2.201937984,17506.83071,0.46183395,0.35052871,141,143,284,1
603003,,0,5,2.457364341,8602.816571,0.42314437,0.067520098,58,59,117,1
600573,,4,5,2.426356589,3912.561437,0.37960786,0.079804012,49,51,100,1
2302,,5,6,3.290585045,0,0,0,0,1,1,1
877,,5,5,2.291472868,6914.434756,0.71909714,0.316172061,106,106,212,1
600361,,2,5,2.630232558,5524.07769,0.33613446,0.031526488,35,35,70,1
882,,5,5,2.289534884,4475.106183,0.72668463,0.311688281,105,106,211,1
601225,,8,5,2.586821705,2316.973879,0.45686275,0.078569084,50,51,101,1
883,,3,5,2.469767442,1478.051089,0.42679974,0.102847026,57,57,114,1
900,,4,5,2.231007752,8909.768275,0.28467992,0.313672957,150,151,301,1
2054,,0,5,2.322868217,9396.579692,0.39862105,0.174686754,88,87,175,1
300082,,4,5,3.010465116,149.3961884,0.30952382,0.005080661,6,7,13,1
601058,,0,6,3.102325581,0.279512006,0,0.001409338,1,2,3,1
2073,,5,5,2.171317829,15045.8292,0.32136932,0.406771884,166,166,332,1
2252,,5,4,2.180620155,7687.898812,0.5332968,0.481458547,164,165,329,1
2221,,0,5,2.897286822,374.4675303,0.43636364,0.008782561,10,11,21,1
413,,8,5,2.342635659,13836.39366,0.3091398,0.159039495,91,93,184,1
2736,,8,5,2.448449612,19727.22537,0.2019656,0.169104754,111,82,193,1
710,,0,5,2.478294574,1456.801899,0.48308668,0.073113244,43,44,87,1
2030,,0,5,2.283333333,6731.164467,0.3048845,0.204983156,106,107,213,1
2097,,2,5,2.408914729,8157.482339,0.40744102,0.07866639,56,58,114,1
2131,,5,5,2.237984496,7451.904138,0.6193277,0.339153088,118,120,238,1
2194,,13,5,2.292635659,21772.62649,0.2519068,0.121832197,98,99,197,1
2289,,0,5,2.524806202,322.093337,0.7983871,0.056431799,31,32,63,1
2301,,4,5,2.399224806,5165.988327,0.3591346,0.095128058,64,65,129,1
2383,,4,5,2.37248062,8838.019114,0.24210526,0.104984088,75,76,151,1
2430,,4,5,2.305813953,7468.695157,0.26153848,0.14965435,90,91,181,1
300293,,0,5,2.368217054,4973.136786,0.44595206,0.107808898,66,67,133,1
