Stkcd,Accper,Typrep,net_profit,A003100000,net_property,group,Msmvttl,Mretwd,Mnvaltrd
1,03/31/2015,A,5629000000,136704000000,136704000000,1,209368634.3,0.11,73028336921
1,06/30/2015,A,11585000000,150880000000,150880000000,2,181100144.37,-0.1,58414868777
1,09/30/2015,A,17740000000,157136000000,157136000000,3,160209477.17,0.02,17546096753
2,03/31/2015,A,908026223.5,88877231658,116203522784,1,138611179.8,0.04,101930982265
2,06/30/2015,A,6789481869,87272694623,117799856665,2,137886419.93,-0.003333333,88066256101
2,09/30/2015,A,9538624020,88926075003,121125218810,3,134470782.3,0.03,17774106200
4,03/31/2015,A,-1757271.94,78422112.97,155627187.41,1,2326713.9933,0.2233333333,2087541064.7
4,06/30/2015,A,4410663.71,81488010.56,161795123.06,2,2796703.4967,-0.003333333,4563083283.3
4,09/30/2015,A,7442136.27,82730997.84,163888250.91,3,2734840.6767,0.1,2443759033.7
5,03/31/2015,A,-8066504.98,661648523.82,661648523.82,1,14464757.66,2.86,7206166902
5,06/30/2015,A,-23188508.26,646526520.54,646526520.54,2,6900170.9533,-0.27,11217279196
5,09/30/2015,A,-29836022.32,639879006.48,639879006.48,3,7835839.0133,0.2033333333,14364619410
6,03/31/2015,A,210517130.4,4336604554.1,4425510690.1,1,16235940.42,0.3366666667,14869607648
6,06/30/2015,A,268380231.1,4234371331.3,4324680562,2,16154940.717,-0.116666667,21397635517
6,09/30/2015,A,287596830.7,4252072213.5,4342856464.9,3,14516946.727,0.0266666667,10293102732
7,03/31/2015,A,-6218736.84,349919161.86,351633188.72,1,5752577.3067,0.31,3919801414.7
7,06/30/2015,A,-9717470.22,348050622.24,348841708.27,2,,,
7,09/30/2015,A,-14228504.01,341197430.18,344495710.2,3,5044283.53,-0.25,3113789304
8,03/31/2015,A,56289927.34,2775257398.9,2886115168.5,1,21579656.75,0.51,2469193729
8,06/30/2015,A,77098560.92,2789955805,2789955805,2,20407896.89,-0.06,6833623584
8,09/30/2015,A,102710849,2817053532.2,2817053532.2,3,26616202.4,0.1766666667,8124479007
9,03/31/2015,A,105690559.4,3726845171.3,5585839863.7,1,31470655.997,0.1133333333,28448324537
9,06/30/2015,A,228843314.5,3736123258.4,5681134173.4,2,20198535.707,-0.166666667,16688510957
9,09/30/2015,A,839308314.6,4469237188.5,6477674316.8,3,24725427.707,0.24,34019264118
10,03/31/2015,A,-2582574.01,544233988.29,549136884.86,1,10261817.8,1.36,1673470461
10,06/30/2015,A,943912.1,548130169.17,552764706.26,2,5145610.6433,-0.25,6472516362
10,09/30/2015,A,1998049.66,549337914.65,552973261.6,3,5048169.6433,0.1033333333,4390654417.7
11,03/31/2015,A,356364.92,2075471013.6,2076333100.7,1,7862202.8733,0.2433333333,5254392602.3
11,06/30/2015,A,31162831.74,1971339192.4,1972201279.5,2,7254572.9467,-0.15,6246648410
11,09/30/2015,A,46455800.37,1984699191.5,1985561278.6,3,6935787.39,0.1366666667,4636279338
12,03/31/2015,A,89811307,8490615365,8799919985,1,18322714.203,0.22,14348756908
12,06/30/2015,A,220596420,7517988032,7577353048,2,15408622.123,-0.13,17035187180
12,09/30/2015,A,408952566,7707197092,7710081211,3,12542207.047,-0.003333333,3812694299.7
14,03/31/2015,A,585063.47,666277789.1,723942475.4,1,4365572.5967,0.19,2781127739
14,06/30/2015,A,15478379.9,676705356.69,735003393.3,2,4118819.92,-0.033333333,6734205374
14,09/30/2015,A,-573848.34,661119127.54,718951165.06,3,4091253.5433,0.0733333333,4937412242
16,03/31/2015,A,4392815.02,4111305157,4366765169.5,1,13251728.54,0.3833333333,9076956295.3
16,06/30/2015,A,-304618171.7,3797724449.8,4053739788.5,2,24084617.47,0.26,4403374536
16,09/30/2015,A,-858427153.4,3236137868.5,3493848864.2,3,10336104.747,-0.096666667,17934509880
17,03/31/2015,A,395417.51,12175682.18,13891523.58,1,5156804.1033,0.42,4624999917.3
17,06/30/2015,A,592576.86,12319520.53,14088682.93,2,4138774.6233,-0.266666667,5033627099.7
17,09/30/2015,A,791365.58,12441454.64,14287471.65,3,3217700.33,0.0866666667,2852974784.3
18,03/31/2015,A,-390827,130947753,129205624,1,3572319.0267,0.29,2216500782
18,06/30/2015,A,-608576,130693937,128951808,2,2722368.3667,-0.226666667,2314097980
18,09/30/2015,A,242510558.8,861745820,861728027.37,3,10914638.75,0.14,1721015564.3
19,03/31/2015,A,-10566158.08,961350131.67,986747172,1,4047552.8733,0.29,2584051665.3
19,06/30/2015,A,2524806.56,976195752.88,1002463136.6,2,3220420.79,-0.21,4603581343.3
19,09/30/2015,A,-13099555.43,962647994.99,986838774.65,3,3680737.7767,0.27,5358913014.7
20,03/31/2015,A,511851.85,281863121.59,281863121.59,1,2997683.3367,0.3933333333,1922588350
20,06/30/2015,A,14177311.03,295528580.77,295528580.77,2,3577412.5867,-0.02,3304529140.3
20,09/30/2015,A,19994553.01,301345822.75,301345822.75,3,4517660.97,0.3966666667,3667011244
21,03/31/2015,A,52142978.36,5188228681.2,5282748360.8,1,19700162.873,0.1866666667,11998495963
21,06/30/2015,A,135561450.3,5232593717.2,5234380979,2,17586453.587,-0.156666667,13494780033
21,09/30/2015,A,140333775,5085402125.2,5087189387,3,16502625.853,0.2133333333,10109099055
22,03/31/2015,A,132865536,4219073377.7,5009537576.7,1,11633194.3,0.13,3989746427
22,06/30/2015,A,310210562.9,4151427960.8,4979275761.6,2,,,
22,09/30/2015,A,519947104.8,4326142462.2,5187732256.5,3,8897614.115,-0.165,2625451722
23,03/31/2015,A,-3370694.73,360519453.98,421405733.77,1,3699703.8767,0.06,3203895103
23,06/30/2015,A,10791890.75,367570043.6,430018069.65,2,3525796.06,0.0933333333,3652912451
23,09/30/2015,A,28162486.3,384025059.31,447388665.2,3,,,
24,03/31/2015,A,740024765,31755625844,45010126578,1,76698604.37,0.13,25611435138
24,06/30/2015,A,2388147128,32777691122,47398829986,2,,,
24,09/30/2015,A,2507568386,32871275531,48169375472,3,77257988.067,0.0566666667,20922212396
25,03/31/2015,A,430573.15,826188280.97,836280933.24,1,5831177.91,0.2,2152171609.7
25,06/30/2015,A,7308716.54,833050618.82,843159076.63,2,7200032.93,0.0766666667,4902293699.7
25,09/30/2015,A,18328136.26,844095393.66,854178496.35,3,21317478.983,0.5866666667,16100762721
26,03/31/2015,A,45115820.63,1681935270.5,1685171789.2,1,5696604.8367,0.2366666667,2574917235.7
26,06/30/2015,A,73280568.14,1674397739.6,1677646859.1,2,4237452.6433,-0.223333333,4534581108.7
26,09/30/2015,A,107060597.4,1704828725.2,1708489973.1,3,3828848.5433,0.09,2972714518.3
27,03/31/2015,A,421239586.3,18129454399,20932333351,1,41503822.03,0.2166666667,13790331194
27,06/30/2015,A,1204698725,22113635843,24838227191,2,44402305.887,-0.063333333,22621046864
27,09/30/2015,A,1850906358,20838021753,23655069681,3,39737420.773,0.01,11303608039
28,03/31/2015,A,202121492.3,4961634059.9,5054806929,1,22727067.43,0.2,5469447895
28,06/30/2015,A,399642261,5079400685.8,5178769309,2,21289892.01,-0.09,6486406642.7
28,09/30/2015,A,591910127.4,5266153764.3,5371037175.5,3,18860234.63,0.02,1884288693.5
29,03/31/2015,A,24961846.26,2186126123.8,2057616380,1,11945271.8,0.4133333333,5959494878.7
29,06/30/2015,A,186404025.5,2348046023,2219489105,2,10337311.6,-0.096666667,6746563381.7
29,09/30/2015,A,234017227.9,2261764419.1,2132392916,3,11671829.4,0.0633333333,9157293787.7
30,03/31/2015,A,171499324.6,4469997119.3,4930204647.8,1,15365157.693,0.1466666667,6035433793.7
30,06/30/2015,A,306691076.7,4471140370.7,4927687195.1,2,13476514.98,-0.116666667,8748935741.7
30,09/30/2015,A,382075098.4,4546388907.7,5004292938.3,3,10912157.88,0.0133333333,2388986496.7
31,03/31/2015,A,56691489.99,5975910840.4,10832889875,1,20289610.79,0.0833333333,21106326597
31,06/30/2015,A,175459202.1,5719155133.2,10695098619,2,33052235.453,0.2233333333,60657931108
31,09/30/2015,A,628732723.3,5902498571.8,11124672190,3,24618383.53,-0.05,33227074687
32,03/31/2015,A,26602622.37,891980410.52,1028576773.2,1,4733355.4133,0.22,2673789865.3
32,06/30/2015,A,-7368870.93,876367523.58,1012001653.3,2,4042524.5967,-0.133333333,3900121009.7
32,09/30/2015,A,53547175.66,876245884.85,1010305840,3,4910332.2967,0.1966666667,3733133386
33,03/31/2015,A,-5821666.14,-183479452.6,-183479452.6,1,3419193.28,1.08,108452864.8
33,06/30/2015,A,-10526537.71,-188184324.2,-188184324.2,2,,,
33,09/30/2015,A,-15271544.38,-192929430.9,-192929430.9,3,,,
34,03/31/2015,A,22988002.68,188624617.55,188624617.55,1,3293356.49,0.12,1604542951
34,06/30/2015,A,22772570.59,188409185.46,188409185.46,2,3984245.4,0.21,230416019.4
34,09/30/2015,A,26515413.68,192152028.55,192152028.55,3,5450743.63,0.19,8771795239
35,03/31/2015,A,35660835.59,1657843022.3,1657843022.3,1,11336931.867,0.14,5027743955
35,06/30/2015,A,66683206.51,1688865393.2,1688865393.2,2,10787837.933,-0.09,5799879299.3
35,09/30/2015,A,120932241.8,1743114428.5,1743114428.5,3,8946515.4233,0.0633333333,3036764240.7
36,03/31/2015,A,-9269035.89,1868174272.1,2484217087.3,1,7870960.2733,0.2966666667,7247948381
36,06/30/2015,A,-16875499.29,1905577679.1,2520966571.4,2,8178926.4033,-0.083333333,9454551981.7
36,09/30/2015,A,-1181455.38,1907412951.5,2524408937.4,3,7987215.6067,0.0366666667,4546558650.7
37,03/31/2015,A,-109346398.3,1182173912.9,1268881221.4,1,4012737.6167,0.2033333333,5014163285.3
