Stkcd,Accper,Typrep,B002000000
1,9/30/2015,A,17740000000
1,6/30/2015,A,11585000000
1,3/31/2015,A,5629000000
2,9/30/2015,A,9538624020
2,6/30/2015,A,6789481869
2,3/31/2015,A,908026223.5
4,9/30/2015,A,7442136.27
4,6/30/2015,A,4410663.71
4,3/31/2015,A,-1757271.94
5,9/30/2015,A,-29836022.32
5,6/30/2015,A,-23188508.26
5,3/31/2015,A,-8066504.98
6,9/30/2015,A,287596830.7
6,6/30/2015,A,268380231.1
6,3/31/2015,A,210517130.4
7,9/30/2015,A,-14228504.01
7,6/30/2015,A,-9717470.22
7,3/31/2015,A,-6218736.84
8,9/30/2015,A,102710849
8,6/30/2015,A,77098560.92
8,3/31/2015,A,56289927.34
9,9/30/2015,A,839308314.6
9,6/30/2015,A,228843314.5
9,3/31/2015,A,105690559.4
10,9/30/2015,A,1998049.66
10,6/30/2015,A,943912.1
10,3/31/2015,A,-2582574.01
11,9/30/2015,A,46455800.37
11,6/30/2015,A,31162831.74
11,3/31/2015,A,356364.92
12,9/30/2015,A,408952566
12,6/30/2015,A,220596420
12,3/31/2015,A,89811307
14,9/30/2015,A,-573848.34
14,6/30/2015,A,15478379.9
14,3/31/2015,A,585063.47
16,9/30/2015,A,-858427153.4
16,6/30/2015,A,-304618171.7
16,3/31/2015,A,4392815.02
17,9/30/2015,A,791365.58
17,6/30/2015,A,592576.86
17,3/31/2015,A,395417.51
18,9/30/2015,A,242510558.8
18,6/30/2015,A,-608576
18,3/31/2015,A,-390827
19,9/30/2015,A,-13099555.43
19,6/30/2015,A,2524806.56
19,3/31/2015,A,-10566158.08
20,9/30/2015,A,19994553.01
20,6/30/2015,A,14177311.03
20,3/31/2015,A,511851.85
21,9/30/2015,A,140333775
21,6/30/2015,A,135561450.3
21,3/31/2015,A,52142978.36
22,9/30/2015,A,519947104.8
22,6/30/2015,A,310210562.9
22,3/31/2015,A,132865536
23,9/30/2015,A,28162486.3
23,6/30/2015,A,10791890.75
23,3/31/2015,A,-3370694.73
24,9/30/2015,A,2507568386
24,6/30/2015,A,2388147128
24,3/31/2015,A,740024765
25,9/30/2015,A,18328136.26
25,6/30/2015,A,7308716.54
25,3/31/2015,A,430573.15
26,9/30/2015,A,107060597.4
26,6/30/2015,A,73280568.14
26,3/31/2015,A,45115820.63
