Stkcd,Accper,Typrep,A003100000,A003000000
1,9/30/2015,A,157136000000.00 ,157136000000.00 
1,6/30/2015,A,150880000000.00 ,150880000000.00 
1,3/31/2015,A,136704000000.00 ,136704000000.00 
2,9/30/2015,A,88926075003.29 ,121125218809.56 
2,6/30/2015,A,87272694622.76 ,117799856665.22 
2,3/31/2015,A,88877231658.13 ,116203522783.62 
4,9/30/2015,A,82730997.84 ,163888250.91 
4,6/30/2015,A,81488010.56 ,161795123.06 
4,3/31/2015,A,78422112.97 ,155627187.41 
5,9/30/2015,A,639879006.48 ,639879006.48 
5,6/30/2015,A,646526520.54 ,646526520.54 
5,3/31/2015,A,661648523.82 ,661648523.82 
6,9/30/2015,A,4252072213.45 ,4342856464.87 
6,6/30/2015,A,4234371331.26 ,4324680561.95 
6,3/31/2015,A,4336604554.13 ,4425510690.13 
7,9/30/2015,A,341197430.18 ,344495710.20 
7,6/30/2015,A,348050622.24 ,348841708.27 
7,3/31/2015,A,349919161.86 ,351633188.72 
8,9/30/2015,A,2817053532.21 ,2817053532.21 
8,6/30/2015,A,2789955805.01 ,2789955805.01 
8,3/31/2015,A,2775257398.89 ,2886115168.47 
9,9/30/2015,A,4469237188.48 ,6477674316.79 
9,6/30/2015,A,3736123258.39 ,5681134173.38 
9,3/31/2015,A,3726845171.30 ,5585839863.71 
10,9/30/2015,A,549337914.65 ,552973261.60 
10,6/30/2015,A,548130169.17 ,552764706.26 
10,3/31/2015,A,544233988.29 ,549136884.86 
11,9/30/2015,A,1984699191.50 ,1985561278.56 
11,6/30/2015,A,1971339192.41 ,1972201279.47 
11,3/31/2015,A,2075471013.61 ,2076333100.67 
12,9/30/2015,A,7707197092.00 ,7710081211.00 
12,6/30/2015,A,7517988032.00 ,7577353048.00 
12,3/31/2015,A,8490615365.00 ,8799919985.00 
14,9/30/2015,A,661119127.54 ,718951165.06 
14,6/30/2015,A,676705356.69 ,735003393.30 
14,3/31/2015,A,666277789.10 ,723942475.40 
16,9/30/2015,A,3236137868.52 ,3493848864.21 
16,6/30/2015,A,3797724449.84 ,4053739788.46 
16,3/31/2015,A,4111305157.03 ,4366765169.52 
17,9/30/2015,A,12441454.64 ,14287471.65 
17,6/30/2015,A,12319520.53 ,14088682.93 
17,3/31/2015,A,12175682.18 ,13891523.58 
18,9/30/2015,A,861745820.00 ,861728027.37 
18,6/30/2015,A,130693937.00 ,128951808.00 
18,3/31/2015,A,130947753.00 ,129205624.00 
19,9/30/2015,A,962647994.99 ,986838774.65 
19,6/30/2015,A,976195752.88 ,1002463136.64 
19,3/31/2015,A,961350131.67 ,986747172.00 
20,9/30/2015,A,301345822.75 ,301345822.75 
20,6/30/2015,A,295528580.77 ,295528580.77 
20,3/31/2015,A,281863121.59 ,281863121.59 
21,9/30/2015,A,5085402125.24 ,5087189387.00 
21,6/30/2015,A,5232593717.24 ,5234380979.00 
21,3/31/2015,A,5188228681.18 ,5282748360.83 
22,9/30/2015,A,4326142462.17 ,5187732256.45 
22,6/30/2015,A,4151427960.76 ,4979275761.58 
22,3/31/2015,A,4219073377.73 ,5009537576.73 
