Stkcd,Reptdt,S0301a,,,,,S0302a,S0303a,S0304a,S0305a,S0306a
证券代码',统计截止日期',股东名称',,,,,持股数量',股份质押、冻结或托管标识',持股比例(%)',股份性质',持股排名'
没有单位',没有单位',没有单位',,,,,股',没有单位',没有单位',没有单位',没有单位'
000001,2018-09-30,中国平安保险(集团)股份有限公司,集团本级,自有资金,,,8510493066 ,3,49.56,流通A股,1
000001,2018-09-30,中国平安人寿保险股份有限公司,自有资金,,,,1049462784 ,3,6.11,流通A股,2
000001,2018-09-30,中国证券金融股份有限公司,,,,,429232688 ,3,2.5,流通A股,3
000001,2018-09-30,中国平安人寿保险股份有限公司,传统,普通保险产品,,,389735963 ,3,2.27,流通A股,4
000001,2018-09-30,香港中央结算有限公司,,,,,356270958 ,3,2.07,流通A股,5
000001,2018-09-30,中央汇金资产管理有限责任公司,,,,,216213000 ,3,1.26,流通A股,6
000001,2018-09-30,深圳中电投资股份有限公司,,,,,186051938 ,3,1.08,流通A股,7
000001,2018-09-30,河南鸿宝集团有限公司,,,,,99441107 ,3,0.58,流通A股,8
000001,2018-09-30,新华人寿保险股份有限公司,分红,个人分红,018L,FH002深,49603502 ,3,0.29,流通A股,9
000001,2018-09-30,泰达宏利基金,民生银行,泰达宏利价值成长定向增发193号资产管理计划,,,40590918 ,3,0.24,流通A股,10
000002,2018-09-30,深圳市地铁集团有限公司,,,,,3242810791 ,3,29.38,流通A股,1
000002,2018-09-30,HKSCC NOMINEES LIMITED,,,,,1314912034 ,3,11.91,流通H股,2
000002,2018-09-30,深圳市钜盛华股份有限公司,,,,,926070472 ,1,8.39,流通A股,3
000002,2018-09-30,国信证券,工商银行,国信金鹏分级1号集合资产管理计划,,,456993190 ,3,4.14,流通A股,4
000002,2018-09-30,安邦人寿保险股份有限公司,保守型投资组合,,,,354753811 ,3,3.21,流通A股,5
000002,2018-09-30,前海人寿保险股份有限公司,聚富产品,,,,343829742 ,3,3.11,流通A股,6
000002,2018-09-30,招商财富,招商银行,德赢1号专项资产管理计划,,,329352920 ,3,2.98,流通A股,7
000002,2018-09-30,安邦财产保险股份有限公司,传统产品,,,,258167403 ,3,2.34,流通A股,8
000002,2018-09-30,UBS AG,,,,,210235804 ,3,1.9,流通A股,9
000002,2018-09-30,中央汇金资产管理有限责任公司,,,,,189566000 ,3,1.72,流通A股,10
000004,2018-09-30,深圳中农大科技投资有限公司,,,,,23876848 ,3,28.43,流通A股,1
000004,2018-09-30,中科汇通(深圳)股权投资基金有限公司,,,,,8397600 ,1,10,流通A股,2
000004,2018-09-30,国华人寿保险股份有限公司,万能三号,,,,4208900 ,3,5.01,流通A股,3
000004,2018-09-30,石雯,,,,,3943600 ,3,4.7,流通A股,4
000004,2018-09-30,傅建群,,,,,3524966 ,3,4.2,流通A股,5
